region,value,year
9001,8.4,2010
9001,8.2,2011
9001,7.8,2012
9001,7.3,2013
9001,6.2,2014
9001,5.4,2015
9001,4.9,2016
9001,4.6,2017
9003,9.4,2010
9003,9,2011
9003,8.5,2012
9003,8,2013
9003,6.8,2014
9003,5.9,2015
9003,5.4,2016
9003,4.9,2017
9005,8.7,2010
9005,8.1,2011
9005,7.6,2012
9005,7.1,2013
9005,6,2014
9005,5.2,2015
9005,4.7,2016
9005,4.4,2017
9007,7.9,2010
9007,7.6,2011
9007,7.2,2012
9007,6.7,2013
9007,5.7,2014
9007,4.9,2015
9007,4.4,2016
9007,4.1,2017
9009,10,2010
9009,9.7,2011
9009,9.1,2012
9009,8.5,2013
9009,7.2,2014
9009,6.2,2015
9009,5.5,2016
9009,5.1,2017
9011,8.9,2010
9011,8.9,2011
9011,8.7,2012
9011,8.1,2013
9011,6.8,2014
9011,5.9,2015
9011,5.1,2016
9011,4.5,2017
9013,7.8,2010
9013,7.5,2011
9013,7.3,2012
9013,6.9,2013
9013,5.8,2014
9013,5,2015
9013,4.5,2016
9013,4,2017
9015,10.3,2010
9015,9.9,2011
9015,9.4,2012
9015,8.8,2013
9015,7.3,2014
9015,6.3,2015
9015,5.6,2016
9015,5.1,2017
